"X","country","village","long","lat","n","y"
2485,"CAMEROUN","ADJAP/NIE",10.194444,2.816667,49,1
2486,"CAMEROUN","ADJAP/YEV",11.05,2.95,19,1
2487,"CAMEROUN","AFAN ESSE",11.627778,4.180556,37,22
2488,"CAMEROUN","AKIE",10.911111,3.277778,51,0
2489,"CAMEROUN","AKOEMAN",11.583333,3.2,42,0
2490,"CAMEROUN","AKOM/MA'A",10.316667,2.441667,30,0
2491,"CAMEROUN","AKOM/MVEN",11.027778,3.377778,30,0
2492,"CAMEROUN","AKWEN-MBA",9.061944,5.758333,40,21
2493,"CAMEROUN","ALANI",12.411111,8.461111,30,9
2494,"CAMEROUN","ANDOM",13.416667,4.65,30,12
2495,"CAMEROUN","AOUDI",12.333333,8.361111,30,17
2496,"CAMEROUN","ASHUM",9.35,5.5775,50,26
2497,"CAMEROUN","ATTA",11.2833,6.45,41,1
2498,"CAMEROUN","AWAE I",11.883333,3.85,21,0
2499,"CAMEROUN","AWING",10.108333,5.843056,31,1
2500,"CAMEROUN","BABUNGO",10.444444,6.054167,34,3
2501,"CAMEROUN","BACHUO TA",9.4,5.691667,82,37
2502,"CAMEROUN","BADOUMA",9.456667,4.833333,31,21
2503,"CAMEROUN","BAFAKA",9.163056,4.725,50,33
2504,"CAMEROUN","BAGAM",10.3,5.683333,50,36
2505,"CAMEROUN","BAKARI-BA",14.6,6.933333,30,1
2506,"CAMEROUN","BAKEBE I",9.558056,5.5575,52,42
2507,"CAMEROUN","BAKOLLE",9.510833,4.960833,50,38
2508,"CAMEROUN","BAKONDJI",10.133333,5.208333,30,25
2509,"CAMEROUN","BALKOSSA",12.433333,8.5,30,10
2510,"CAMEROUN","BALLOUM",10.35,5.625,39,31
2511,"CAMEROUN","BAME",13.6,9.075,18,4
2512,"CAMEROUN","BAMENDJIN",10.488889,5.705556,50,40
2513,"CAMEROUN","BAMENDJOU",10.333333,5.388889,36,19
2514,"CAMEROUN","BAMENDOU",10.202778,5.455556,34,13
2515,"CAMEROUN","BAMESSING",10.3625,5.976388,46,3
2516,"CAMEROUN","BAMOUGOUM",10.341667,5.5125,39,21
2517,"CAMEROUN","BANA",10.273611,5.155556,30,24
2518,"CAMEROUN","BANDEKOK",15.011111,3.216667,26,2
2519,"CAMEROUN","BANDJOUN",10.416667,5.366667,30,22
2520,"CAMEROUN","BANGANG",10.166667,5.55,30,18
2521,"CAMEROUN","BANGANGTE",10.625,5.1,30,25
2522,"CAMEROUN","BANGUE",15.177778,3.011111,28,1
2523,"CAMEROUN","BANKA",10.343056,5.308333,50,38
2524,"CAMEROUN","BANKIM",11.488889,6.081944,30,10
2525,"CAMEROUN","BANTOUMI",10.661111,5.095833,30,26
2526,"CAMEROUN","BASSENG",9.707222,4.925,41,23
2527,"CAMEROUN","BATCHAM",10.206944,5.597222,30,17
2528,"CAMEROUN","BATIE",10.45,5.666667,30,13
2529,"CAMEROUN","BATOUR (D",15.166667,7.1,30,15
2530,"CAMEROUN","BAYAGAM",10.416667,5.25,30,20
2531,"CAMEROUN","BAYARA",14.566667,6.983333,30,0
2532,"CAMEROUN","BAZOU",10.466667,5.061111,30,22
2533,"CAMEROUN","BECHATI",9.904444,5.664444,75,47
2534,"CAMEROUN","BEDOUMO",13.363889,3.652778,28,1
2535,"CAMEROUN","BEFANG",9.969444,6.326389,33,9
2536,"CAMEROUN","BEJA-BERO",9.160833,5.420833,57,34
2537,"CAMEROUN","BEKA MODI",14.455556,6.911111,30,0
2538,"CAMEROUN","BELEL",14.55,7.033333,30,0
2539,"CAMEROUN","BENGA I",10.058611,4.612222,22,14
2540,"CAMEROUN","BENGSE",9.745278,4.366667,17,3
2541,"CAMEROUN","BERABE",10.743056,6.688889,35,14
2542,"CAMEROUN","BERKONG",12.616667,4.65,29,0
2543,"CAMEROUN","BESSALI",9.896111,5.63,59,34
2544,"CAMEROUN","BESSI",9.920833,5.811111,31,7
2545,"CAMEROUN","BIBOA",12.605556,4.444444,24,0
2546,"CAMEROUN","BIDJOUKA",10.483333,3.116667,50,0
2547,"CAMEROUN","BIDOU II",10,2.858333,17,0
2548,"CAMEROUN","BIMBA",12.511111,8.577778,30,4
2549,"CAMEROUN","BISSAGA",12.133333,4.666667,29,14
2550,"CAMEROUN","BIWONG-BO",11.366667,2.783333,39,1
2551,"CAMEROUN","BIYAN",10.8,2.5,25,0
2552,"CAMEROUN","BOKOSSO",9.151944,4.421944,51,20
2553,"CAMEROUN","BOMONO BA",9.596667,4.133333,30,1
2554,"CAMEROUN","BONEPOUPA",10.037222,4.093889,51,35
2555,"CAMEROUN","BUBA",9.6275,4.628889,26,19
2556,"CAMEROUN","CHUP",10.661111,6.488888,37,9
2557,"CAMEROUN","DAMI",14.216667,8.85,31,10
2558,"CAMEROUN","DEA",12.566667,4.5,40,0
2559,"CAMEROUN","DEFANG",9.564444,5.5,63,43
2560,"CAMEROUN","DEHANE",10.083333,3.488889,51,12
2561,"CAMEROUN","DIENYI",9.218333,4.631111,50,39
2562,"CAMEROUN","DISSOSSO",9.258333,4.731111,25,21
2563,"CAMEROUN","DJABBE",14.116667,9.85,30,19
2564,"CAMEROUN","DJALINGO",13.533333,8.966667,30,2
2565,"CAMEROUN","DJAMTARI",12.25,7.7,36,26
2566,"CAMEROUN","DJOHONG",14.7,6.833333,30,3
2567,"CAMEROUN","DJOMBI",12.616667,6.7,33,2
2568,"CAMEROUN","DJOTTIN",10.570833,6.283333,43,15
2569,"CAMEROUN","DOBINGA",14.449999,8.966666,30,7
2570,"CAMEROUN","DOUME",12.283333,5.897222,50,8
2571,"CAMEROUN","DZENG VIL",11.9,3.733333,13,0
2572,"CAMEROUN","EBEAGWA",9.727222,5.5725,54,37
2573,"CAMEROUN","EBEMVOK",10.683333,2.816667,29,0
2574,"CAMEROUN","EBINSI-BA",9.156944,4.69,69,16
2575,"CAMEROUN","EBOGO",11.472222,3.388889,41,1
2576,"CAMEROUN","EBOLMBAMA",10.822222,2.644444,21,0
2577,"CAMEROUN","EKAN",12.238889,4.4,13,4
2578,"CAMEROUN","EKEKE",10.916667,2.325,33,2
2579,"CAMEROUN","EKOK",8.852778,5.805556,52,3
2580,"CAMEROUN","EKOM (CHU",10.018333,5.062222,30,26
2581,"CAMEROUN","EKOMBE-EK",9.356944,4.608889,54,42
2582,"CAMEROUN","EKOMBE-LY",9.106111,4.5,56,35
2583,"CAMEROUN","EKONDJE",10.925,4.641667,25,9
2584,"CAMEROUN","EKOUDENDI",11.288889,3.422222,40,10
2585,"CAMEROUN","EKOWONG",11.902778,2.513889,25,0
2586,"CAMEROUN","EKWE",9.158333,4.686111,50,30
2587,"CAMEROUN","ELOT",12.738889,4.577778,23,1
2588,"CAMEROUN","EMTSE",12.283333,4.827778,33,12
2589,"CAMEROUN","ESHOBI",9.358333,5.779444,40,23
2590,"CAMEROUN","ESSELEGUE",13.269444,4.802778,41,10
2591,"CAMEROUN","ETEKESSAN",14.008333,2.683333,20,8
2592,"CAMEROUN","ETINKEM",9.383333,5.416667,30,20
2593,"CAMEROUN","EYANDONG",9.712222,5.110556,18,15
2594,"CAMEROUN","EYANG-ATE",9.486667,5.439722,57,38
2595,"CAMEROUN","FOKOUE",10.123611,5.366667,30,11
2596,"CAMEROUN","FOLAP",10.9,5.816667,30,19
2597,"CAMEROUN","FONFUKA",10.488889,6.534722,50,20
2598,"CAMEROUN","FOSSUNG",9.958333,5.592222,51,35
2599,"CAMEROUN","FOTO",9.958333,5.592222,51,7
2600,"CAMEROUN","GALDI WAR",13.85,7.1,30,10
2601,"CAMEROUN","GANGOY",14.194444,8.816667,14,2
2602,"CAMEROUN","GODE",13.027778,8.544444,30,6
2603,"CAMEROUN","GOUNOUGOU",13.7,9.066667,30,3
2604,"CAMEROUN","HEVECAM/N",10.05,2.541667,31,5
2605,"CAMEROUN","IDOOL",14.108333,7.188889,30,0
2606,"CAMEROUN","KABILI",13.225,4.320833,44,0
2607,"CAMEROUN","KAKAR",10.797222,6.388889,31,4
2608,"CAMEROUN","KAMBAMYER",13.983333,4.233333,13,2
2609,"CAMEROUN","KAREWA",13.561111,9.188889,16,3
2610,"CAMEROUN","KEDJOM-KE",10.2625,6.120833,33,7
2611,"CAMEROUN","KEKEM",10.001389,5.154167,36,21
2612,"CAMEROUN","KELLE NDO",10.3875,3.730556,15,3
2613,"CAMEROUN","KENDEM-MB",9.6925,5.7275,50,30
2614,"CAMEROUN","KINDING D",10.725,4.910833,42,26
2615,"CAMEROUN","KODJOLI",12.866667,7.4,14,9
2616,"CAMEROUN","KOLOU-MAL",12.627778,8.538889,30,27
2617,"CAMEROUN","KOMBE",9.565556,4.410556,33,7
2618,"CAMEROUN","KOMBOU",10.183333,5.733333,30,14
2619,"CAMEROUN","KONG",11.45,5.633333,31,14
2620,"CAMEROUN","KONTCHA-B",12.233333,7.966667,34,16
2621,"CAMEROUN","KOULA",11.154167,5.9875,30,25
2622,"CAMEROUN","KOUPA-MAT",10.779167,5.7875,50,24
2623,"CAMEROUN","KOUTABA",10.751389,5.626389,30,20
2624,"CAMEROUN","KPWAGAN",11.633333,5.583333,32,13
2625,"CAMEROUN","KUMBE-BAL",9.211389,4.685833,46,38
2626,"CAMEROUN","KWETVU",10.579167,5.465278,30,25
2627,"CAMEROUN","LAINE GOU",12.616667,6.991667,20,2
2628,"CAMEROUN","LAOUNPANG",13.7,7.183333,30,12
2629,"CAMEROUN","LARO",12.316667,8.283333,30,24
